Delay Time,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
40.0,10000000000.0,0.99,0.09949874371066199,0.0,0.0
40.0,31622776601.683792,1.0,0.0,0.0,0.0
40.0,100000000000.0,1.0,0.0,0.0,0.0
40.0,316227766016.83795,1.0,0.0,0.0,0.0
40.0,1000000000000.0,1.0,0.0,0.0,0.0
40.0,3162277660168.3794,1.0,0.0,0.0,0.0
40.0,10000000000000.0,1.0,0.0,0.0,0.0
40.0,31622776601683.793,0.99,0.09949874371066199,0.0,0.0
40.0,100000000000000.0,0.995,0.07053367989832944,0.005,0.07053367989832944
40.0,316227766016837.94,0.995,0.07053367989832945,0.0,0.0
40.0,1000000000000000.0,0.995,0.07053367989832943,0.0,0.0
40.0,3162277660168379.5,1.0,0.0,0.0,0.0
40.0,1e+16,0.99,0.09949874371066199,0.0,0.0
40.0,3.162277660168379e+16,1.0,0.0,0.0,0.0
40.0,1e+17,0.995,0.07053367989832944,0.005,0.07053367989832944
80.0,10000000000.0,0.975,0.15612494995995996,0.0,0.0
80.0,31622776601.683792,0.98,0.13999999999999999,0.0,0.0
80.0,100000000000.0,0.975,0.15612494995995996,0.0,0.0
80.0,316227766016.83795,0.985,0.12155245781143219,0.0,0.0
80.0,1000000000000.0,0.985,0.12155245781143217,0.0,0.0
80.0,3162277660168.3794,0.98,0.13999999999999999,0.0,0.0
80.0,10000000000000.0,0.995,0.07053367989832944,0.0,0.0
80.0,31622776601683.793,0.99,0.09949874371066199,0.0,0.0
80.0,100000000000000.0,0.985,0.12155245781143217,0.005,0.07053367989832943
80.0,316227766016837.94,1.0,0.0,0.0,0.0
80.0,1000000000000000.0,0.98,0.13999999999999999,0.0,0.0
80.0,3162277660168379.5,0.985,0.12155245781143217,0.0,0.0
80.0,1e+16,0.99,0.09949874371066199,0.0,0.0
80.0,3.162277660168379e+16,1.0,0.0,0.0,0.0
80.0,1e+17,0.99,0.09949874371066199,0.0,0.0
160.0,10000000000.0,0.99,0.09949874371066199,0.0,0.0
160.0,31622776601.683792,0.985,0.12155245781143219,0.0,0.0
160.0,100000000000.0,0.95,0.21794494717703372,0.0,0.0
160.0,316227766016.83795,0.94,0.23748684174075838,0.0,0.0
160.0,1000000000000.0,0.97,0.1705872210923198,0.0,0.0
160.0,3162277660168.3794,0.97,0.1705872210923198,0.0,0.0
160.0,10000000000000.0,0.97,0.1705872210923198,0.0,0.0
160.0,31622776601683.793,0.965,0.1837797594948911,0.0,0.0
160.0,100000000000000.0,0.975,0.15612494995995996,0.0,0.0
160.0,316227766016837.94,0.975,0.15612494995995996,0.0,0.0
160.0,1000000000000000.0,0.955,0.20730412441627885,0.005,0.07053367989832944
160.0,3162277660168379.5,0.98,0.13999999999999999,0.0,0.0
160.0,1e+16,0.985,0.1215524578114322,0.0,0.0
160.0,3.162277660168379e+16,0.995,0.07053367989832944,0.0,0.0
160.0,1e+17,0.98,0.13999999999999999,0.005,0.07053367989832944
320.0,10000000000.0,0.93,0.2551470164434615,0.0,0.0
320.0,31622776601.683792,0.96,0.19595917942265428,0.0,0.0
320.0,100000000000.0,0.94,0.23748684174075838,0.0,0.0
320.0,316227766016.83795,0.95,0.2179449471770337,0.0,0.0
320.0,1000000000000.0,0.935,0.246525860712421,0.0,0.0
320.0,3162277660168.3794,0.95,0.2179449471770337,0.0,0.0
320.0,10000000000000.0,0.935,0.24652586071242102,0.0,0.0
320.0,31622776601683.793,0.955,0.20730412441627882,0.005,0.07053367989832944
320.0,100000000000000.0,0.92,0.2712931993250107,0.015,0.12155245781143219
320.0,316227766016837.94,0.935,0.246525860712421,0.005,0.07053367989832944
320.0,1000000000000000.0,0.93,0.2551470164434615,0.005,0.07053367989832944
320.0,3162277660168379.5,0.975,0.15612494995995996,0.0,0.0
320.0,1e+16,0.92,0.2712931993250107,0.005,0.07053367989832943
320.0,3.162277660168379e+16,0.935,0.246525860712421,0.0,0.0
320.0,1e+17,0.945,0.22798026230356,0.0,0.0
640.0,10000000000.0,0.885,0.31902194281898544,0.0,0.0
640.0,31622776601.683792,0.855,0.352100837829165,0.0,0.0
640.0,100000000000.0,0.885,0.31902194281898544,0.0,0.0
640.0,316227766016.83795,0.875,0.33071891388307384,0.0,0.0
640.0,1000000000000.0,0.9,0.3,0.0,0.0
640.0,3162277660168.3794,0.87,0.33630343441600474,0.005,0.07053367989832943
640.0,10000000000000.0,0.86,0.3469870314579494,0.015,0.12155245781143219
640.0,31622776601683.793,0.895,0.30655342111938666,0.01,0.09949874371066199
640.0,100000000000000.0,0.86,0.34698703145794946,0.01,0.09949874371066199
640.0,316227766016837.94,0.855,0.35210083782916507,0.0,0.0
640.0,1000000000000000.0,0.905,0.29321493822791495,0.005,0.07053367989832945
640.0,3162277660168379.5,0.89,0.3128897569432403,0.005,0.07053367989832943
640.0,1e+16,0.87,0.33630343441600474,0.0,0.0
