,Delay Time,D,Repair Rate,Repair Rate Std
145,3620.386719675124,10000000000000.0,0.042,0.2005891323078097
146,3620.386719675124,31622776601683.797,0.014,0.1174904251417961
147,3620.386719675124,100000000000000.0,0.0,0.0
148,3620.386719675124,316227766016837.94,0.002,0.0446766158073773
149,3620.386719675124,1000000000000000.0,0.004,0.063118935352238
150,3620.386719675124,3162277660168379.5,0.004,0.063118935352238
151,3620.386719675124,1e+16,0.004,0.063118935352238
152,10240.0,10000000.0,0.722,0.4480133926569607
153,10240.0,31622776.60168379,0.722,0.4480133926569607
154,10240.0,100000000.0,0.724,0.4470167782086036
155,10240.0,316227766.01683795,0.718,0.449973332543163
156,10240.0,1000000000.0,0.746,0.4352975993501457
157,10240.0,3162277660.16838,0.694,0.4608296865437382
158,10240.0,10000000000.0,0.706,0.4555919226676434
159,10240.0,31622776601.683792,0.518,0.4996758949559204
160,10240.0,100000000000.0,0.31,0.462493243193887
161,10240.0,316227766016.83795,0.16,0.3666060555964671
162,10240.0,1000000000000.0,0.08,0.2712931993250107
163,10240.0,3162277660168.3794,0.026,0.1591351626762608
164,10240.0,10000000000000.0,0.014,0.1174904251417961
165,10240.0,31622776601683.797,0.008,0.0890842298052803
166,10240.0,100000000000000.0,0.002,0.0446766158073773
167,10240.0,316227766016837.94,0.004,0.063118935352238
168,10240.0,1000000000000000.0,0.006,0.0772269383052313
169,10240.0,3162277660168379.5,0.0,0.0
170,10240.0,1e+16,0.0,0.0
