Delay Time,D,Repair Rate,Repair Rate Std
3620.3867196751235,10000000.0,0.814,0.38910666917954523
3620.3867196751235,31622776.60168379,0.812,0.3907121702737195
3620.3867196751235,100000000.0,0.788,0.408724846320847
3620.3867196751235,316227766.01683795,0.828,0.3773804446443933
3620.3867196751235,1000000000.0,0.814,0.38910666917954523
3620.3867196751235,3162277660.1683793,0.786,0.41012680965769605
3620.3867196751235,10000000000.0,0.802,0.39849215801568794
3620.3867196751235,31622776601.683792,0.706,0.4555919226676434
3620.3867196751235,100000000000.0,0.502,0.4999959999839998
3620.3867196751235,316227766016.83795,0.28,0.44899888641287294
3620.3867196751235,1000000000000.0,0.154,0.3609487498246808
3620.3867196751235,3162277660168.3794,0.056,0.22992172581119863
3620.3867196751235,10000000000000.0,0.034,0.18122913673027302
3620.3867196751235,31622776601683.793,0.02,0.13999999999999999
3620.3867196751235,100000000000000.0,0.01,0.099498743710662
3620.3867196751235,316227766016837.94,0.006,0.0772269383052313
3620.3867196751235,1000000000000000.0,0.004,0.063118935352238
3620.3867196751235,3162277660168379.5,0.004,0.063118935352238
3620.3867196751235,1e+16,0.0,0.0
10240.0,10000000.0,0.7,0.45825756949558394
10240.0,31622776.60168379,0.676,0.4680000000000001
10240.0,100000000.0,0.672,0.4694848240358787
10240.0,316227766.01683795,0.688,0.4633098315382483
10240.0,1000000000.0,0.694,0.46082968654373824
10240.0,3162277660.1683793,0.664,0.4723388614120164
10240.0,10000000000.0,0.616,0.4863578929142613
10240.0,31622776601.683792,0.496,0.4999839997439918
10240.0,100000000000.0,0.3,0.45825756949558394
10240.0,316227766016.83795,0.144,0.35108973211986705
10240.0,1000000000000.0,0.066,0.24828209762284512
10240.0,3162277660168.3794,0.032,0.17600000000000002
10240.0,10000000000000.0,0.008,0.08908422980528033
10240.0,31622776601683.793,0.002,0.044676615807377355
10240.0,100000000000000.0,0.002,0.044676615807377355
10240.0,316227766016837.94,0.0,0.0
10240.0,1000000000000000.0,0.002,0.044676615807377355
10240.0,3162277660168379.5,0.0,0.0
10240.0,1e+16,0.0,0.0
